Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
Axis Global Equity Alpha FoF - Direct Plan,--,25.12,20/51,Very High,EQ-INTL,Unlock,0.87,2020-09-24,955.00
Axis Global Innovation FoF - Direct Plan,--,22.29,27/51,Very High,EQ-INTL,Unlock,0.86,2021-05-28,545.00
Axis Greater China Equity FoF - Direct Plan,--,33.53,8/51,Very High,EQ-INTL,Unlock,0.53,2021-02-10,572.00
Axis India Manufacturing Fund - Direct Plan,--,0.21,38/77,Very High,EQ-THEMATIC,Unlock,0.47,2023-12-21,"5,576"
Axis Innovation Fund - Direct Plan,--,7.22,11/77,Very High,EQ-THEMATIC,Unlock,1.28,2020-12-24,"1,205"
Axis Large Cap Fund - Direct Plan,1,3.20,14/94,Very High,EQ-LC,Unlock,0.69,2013-01-01,"34,374"
Axis Large & Mid Cap Fund - Direct Plan,3,5.19,8/44,Very High,EQ-L&MC,Unlock,0.60,2018-10-22,"14,954"
Axis Midcap Fund - Direct Plan,2,5.09,10/43,Very High,EQ-MC,Unlock,0.54,2013-01-01,"32,069"
Axis Momentum Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.53,2024-12-12,"1,386"
Axis Multicap Fund - Direct Plan,4,6.78,5/26,Very High,EQ-MLC,Unlock,0.74,2021-12-17,"8,272"
Axis Multi Factor Passive FoF - Direct Plan,2,-6.37,--,Very High,EQ-THEMATIC,Unlock,0.14,2022-02-24,34.00
Axis NASDAQ 100 FoF - Direct Plan,--,25.70,19/51,Very High,EQ-INTL,Unlock,0.25,2022-11-01,174.00
Axis Nifty 100 Index Fund - Direct Plan,2,1.12,55/94,Very High,EQ-LC,Unlock,0.21,2019-10-18,"1,949"
Axis Nifty 500 Index Fund - Direct Plan,--,1.34,57/88,Very High,EQ-FLX,Unlock,0.10,2024-07-12,294.00
Axis Nifty500 Momentum 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,0.16,2025-02-13,81.00
Axis Nifty500 Value 50 ETF,--,--,--,Very High,EQ-VAL,Unlock,0.25,2025-03-13,10.00
Axis Nifty500 Value 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-VAL,Unlock,0.18,2024-10-24,94.00
Axis Nifty 50 ETF,--,3.01,13/146,Very High,EQ-LC,Unlock,0.04,2017-07-03,"1,017"
Axis Nifty 50 Index Fund - Direct Plan,3,2.97,15/94,Very High,EQ-LC,Unlock,0.10,2021-12-03,743.00
Axis Nifty Bank ETF,--,11.80,22/54,Very High,EQ-BANK,Unlock,0.19,2020-11-03,366.00
Axis Nifty Bank Index Fund - Direct Plan,--,11.91,19/30,Very High,EQ-BANK,Unlock,0.17,2024-05-24,150.00
Axis NIFTY Healthcare ETF,--,11.71,16/23,Very High,EQ-Pharma,Unlock,0.34,2021-05-17,20.00
Axis NIFTY India Consumption ETF,--,1.99,10/21,Very High,EQ-Consumption,Unlock,0.38,2021-09-17,14.00
Axis NIFTY IT ETF,--,-9.43,21/26,Very High,EQ-IT,Unlock,0.23,2021-03-25,210.00
Axis Nifty IT Index Fund - Direct Plan,--,-9.56,15/15,Very High,EQ-IT,Unlock,0.32,2023-07-14,137.00
Axis Nifty Midcap 50 Index Fund - Direct Plan,3,2.71,20/43,Very High,EQ-MC,Unlock,0.26,2022-03-28,479.00
Axis Nifty Next 50 Index Fund - Direct Plan,2,-6.46,81/94,Very High,EQ-LC,Unlock,0.15,2022-01-28,357.00
Axis Nifty Smallcap 50 Index Fund - Direct Plan,2,1.09,18/42,Very High,EQ-SC,Unlock,0.27,2022-03-10,537.00
Axis Quant Fund - Direct Plan,--,-4.97,61/77,Very High,EQ-THEMATIC,Unlock,0.69,2021-06-30,999.00
Axis Services Opportunities Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,--,--
Axis Small Cap Fund - Direct Plan,3,6.72,6/42,Very High,EQ-SC,Unlock,0.56,2013-11-29,"26,379"
Axis Value Fund - Direct Plan,4,4.59,4/26,Very High,EQ-VAL,Unlock,0.84,2021-09-22,989.00
Bajaj Finserv Consumption Fund - Direct Plan,--,--,--,Very High,EQ-Consumption,Unlock,0.67,2024-11-29,595.00
Bajaj Finserv ELSS Tax Saver Fund - Direct Plan,--,--,--,Very High,EQ-ELSS,Unlock,0.45,2025-01-29,61.00
Bajaj Finserv Flexi Cap Fund - Direct Plan,--,6.87,17/88,Very High,EQ-FLX,Unlock,0.48,2023-08-14,"5,180"
Bajaj Finserv Healthcare Fund - Direct Plan,--,--,--,Very High,EQ-Pharma,Unlock,0.67,2024-12-27,332.00
Bajaj Finserv Large and Mid Cap Fund - Direct Plan,--,3.90,12/44,Very High,EQ-L&MC,Unlock,0.59,2024-02-27,"2,120"
Bajaj Finserv Large Cap Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.59,2024-08-20,"1,553"
Bajaj Finserv Multi Cap Fund - Direct Plan,--,--,--,Very High,EQ-MLC,Unlock,0.67,2025-02-27,784.00
Bajaj Finserv Nifty 50 ETF,--,2.99,24/146,Very High,EQ-LC,Unlock,0.07,2024-01-19,208.00
Bajaj Finserv Nifty 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.25,2025-05-15,8.00
Bajaj Finserv Nifty Bank ETF,--,11.83,19/54,Very High,EQ-BANK,Unlock,0.10,2024-01-19,352.00
Bajaj Finserv Nifty Next 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.30,2025-05-12,9.00
Bajaj Finserv Small Cap Fund - Direct Plan,--,--,--,Very High,EQ-SC,Unlock,--,2025-07-18,--
Bandhan BSE Healthcare Index Fund - Direct Plan,--,--,--,Very High,EQ-Pharma,Unlock,0.21,2024-09-06,19.00
Bandhan BSE Sensex ETF,--,2.65,47/146,Very High,EQ-LC,Unlock,0.38,2016-10-07,1.00
Bandhan Business Cycle Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.51,2024-09-30,"1,732"
Bandhan ELSS Tax Saver Fund - Direct Plan,4,-0.54,33/39,Very High,EQ-ELSS,Unlock,0.63,2013-01-01,"7,151"
Bandhan Financial Services Fund - Direct Plan,--,14.70,10/30,Very High,EQ-BANK,Unlock,0.57,2023-07-28,"1,086"
Bandhan Flexi Cap Fund - Direct Plan,3,3.76,34/88,Very High,EQ-FLX,Unlock,1.14,2013-01-01,"7,607"
Bandhan Focused Fund - Direct Plan,4,14.02,1/88,Very High,EQ-FLX,Unlock,0.81,2013-01-01,"1,947"
Bandhan Infrastructure Fund - Direct Plan,3,-8.27,18/20,Very High,EQ-INFRA,Unlock,0.84,2013-01-01,"1,749"
Bandhan Innovation Fund - Direct Plan,--,12.72,3/77,Very High,EQ-THEMATIC,Unlock,0.52,2024-04-30,"1,611"
Bandhan Large Cap Fund - Direct Plan,4,3.70,10/94,Very High,EQ-LC,Unlock,0.88,2013-01-01,"1,928"
Bandhan Large & Mid Cap Fund - Direct Plan,5,4.36,10/44,Very High,EQ-L&MC,Unlock,0.56,2013-01-01,"9,735"
Bandhan Midcap Fund - Direct Plan,--,3.28,17/43,Very High,EQ-MC,Unlock,0.58,2022-08-18,"1,794"
Bandhan Multi Cap Fund - Direct Plan,3,1.88,18/26,Very High,EQ-MLC,Unlock,0.55,2021-12-02,"2,725"
Bandhan Multi-Factor Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,--,--,--
Bandhan Nifty 100 Index Fund - Direct Plan,2,1.15,54/94,Very High,EQ-LC,Unlock,0.10,2022-02-24,192.00
Bandhan Nifty100 Low Volatility 30 Index Fund - Direct Plan,--,1.33,47/94,Very High,EQ-LC,Unlock,0.35,2022-10-06,"1,584"
Bandhan Nifty200 Momentum 30 Index Fund - Direct Plan,--,-13.04,42/44,Very High,EQ-L&MC,Unlock,0.42,2022-09-02,138.00
Bandhan Nifty 200 Quality 30 Index Fund - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.33,2024-12-04,12.00
Bandhan Nifty 500 Momentum 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,0.36,2024-10-29,26.00
Bandhan Nifty 500 Value 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-VAL,Unlock,0.36,2024-10-29,14.00
Bandhan Nifty 50 ETF,--,2.98,29/146,Very High,EQ-LC,Unlock,0.09,2016-10-07,29.00
Bandhan Nifty 50 Index Fund - Direct Plan,3,2.81,28/94,Very High,EQ-LC,Unlock,0.10,2013-01-01,"1,967"
Bandhan Nifty Alpha 50 Index Fund - Direct Plan,--,-10.43,86/88,Very High,EQ-FLX,Unlock,0.34,2023-11-09,502.00
Bandhan Nifty Alpha Low Volatility 30 Index Fund - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.25,2025-01-23,10.00
Bandhan Nifty Bank Index Fund - Direct Plan,--,--,--,Very High,EQ-BANK,Unlock,0.20,2024-08-27,18.00
Bandhan Nifty IT Index Fund - Direct Plan,--,-9.53,14/15,Very High,EQ-IT,Unlock,0.37,2023-08-31,27.00
Bandhan Nifty Midcap 150 Index Fund - Direct Plan,--,--,--,Very High,EQ-MC,Unlock,0.15,2024-09-19,27.00
Bandhan Nifty Next 50 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.22,2025-02-28,19.00
Bandhan Nifty Smallcap 250 Index Fund - Direct Plan,--,-0.76,27/42,Very High,EQ-SC,Unlock,0.20,2023-12-22,60.00
Bandhan Nifty Total Market Index Fund - Direct Plan,--,0.92,61/88,Very High,EQ-FLX,Unlock,0.40,2024-07-10,41.00
Bandhan Small Cap Fund - Direct Plan,5,11.07,2/42,Very High,EQ-SC,Unlock,0.39,2020-02-25,"12,982"
Bandhan Transportation and Logistics Fund - Direct Plan,--,-3.29,54/77,Very High,EQ-THEMATIC,Unlock,0.87,2022-10-27,566.00
Bandhan US Equity FoF - Direct Plan,--,25.83,18/51,Very High,EQ-INTL,Unlock,0.64,2021-08-20,331.00
Bandhan Value Fund - Direct Plan,4,-1.32,14/26,Very High,EQ-VAL,Unlock,0.68,2013-01-01,"10,229"
Bank of India Business Cycle Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,1.15,2024-08-30,576.00
Bank of India Consumption Fund - Direct Plan,--,--,--,Very High,EQ-Consumption,Unlock,1.30,2024-12-20,391.00
Bank of India ELSS Tax Saver Fund - Direct Plan,3,-6.16,36/39,Very High,EQ-ELSS,Unlock,0.92,2013-01-01,"1,432"
Bank of India Flexi Cap Fund - Direct Plan,4,-2.52,78/88,Very High,EQ-FLX,Unlock,0.54,2020-06-29,"2,209"
Bank of India Large Cap Fund - Direct Plan,4,-3.21,75/94,Very High,EQ-LC,Unlock,1.03,2021-06-29,209.00
Bank of India Large & Mid Cap Fund - Direct Plan,2,-2.42,31/44,Very High,EQ-L&MC,Unlock,1.28,2013-01-01,418.00
Bank of India Manufacturing & Infrastructure Fund - Direct Plan,4,0.96,2/20,Very High,EQ-INFRA,Unlock,0.78,2013-01-01,607.00
Bank of India Mid Cap Fund - Direct Plan,--,--,--,Very High,EQ-MC,Unlock,--,--,--
Bank of India Multi Cap Fund - Direct Plan,--,1.63,20/26,Very High,EQ-MLC,Unlock,1.06,2023-03-03,902.00
Bank of India Small Cap Fund - Direct Plan,3,1.80,15/42,Very High,EQ-SC,Unlock,0.58,2018-12-19,"1,908"
Baroda BNP Paribas Aqua FoF - Direct Plan,--,10.71,--,Very High,EQ-INTL,Unlock,0.54,2021-05-07,38.00
Baroda BNP Paribas Banking and Financial Services Fund - Direct Plan,3,18.12,3/30,Very High,EQ-BANK,Unlock,0.84,2013-01-01,290.00
Baroda BNP Paribas Business Cycle Fund - Direct Plan,--,-2.11,47/77,Very High,EQ-THEMATIC,Unlock,0.91,2021-09-15,595.00
Baroda BNP Paribas Children's Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,0.38,2024-12-27,92.00
Baroda BNP Paribas Dividend Yield Fund - Direct Plan,--,--,--,Very High,EQ-DIV Y,Unlock,0.51,2024-09-11,"1,008"
Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan,3,5.23,6/39,Very High,EQ-ELSS,Unlock,1.01,2013-01-01,934.00
Baroda BNP Paribas Energy Opportunities Fund - Direct Plan,--,--,--,Very High,EQ-Energy,Unlock,0.70,2025-02-10,763.00
Baroda BNP Paribas Flexi Cap Fund - Direct Plan,--,2.14,52/88,Very High,EQ-FLX,Unlock,0.96,2022-08-17,"1,310"
Baroda BNP Paribas Focused Fund - Direct Plan,2,-1.18,76/88,Very High,EQ-FLX,Unlock,0.48,2017-10-06,718.00
Baroda BNP Paribas Health and Wellness Fund - Direct Plan,--,--,--,Very High,EQ-Pharma,Unlock,--,2025-06-27,631.00
Baroda BNP Paribas India Consumption Fund - Direct Plan,3,-0.54,11/16,Very High,EQ-Consumption,Unlock,0.65,2018-09-07,"1,477"
Baroda BNP Paribas Innovation Fund - Direct Plan,--,2.88,26/77,Very High,EQ-THEMATIC,Unlock,1.05,2024-03-05,"1,005"
Baroda BNP Paribas Large Cap Fund - Direct Plan,4,-0.96,70/94,Very High,EQ-LC,Unlock,0.76,2013-01-01,"2,719"
Baroda BNP Paribas Large & Mid Cap Fund - Direct Plan,3,1.68,24/44,Very High,EQ-L&MC,Unlock,0.83,2020-09-04,"1,650"
Baroda BNP Paribas Manufacturing Fund - Direct Plan,--,-1.59,44/77,Very High,EQ-THEMATIC,Unlock,0.65,2024-06-28,"1,323"
Baroda BNP Paribas Midcap Fund - Direct Plan,3,1.17,29/43,Very High,EQ-MC,Unlock,0.56,2013-01-01,"2,213"
Baroda BNP Paribas Multi Cap Fund - Direct Plan,3,2.79,17/26,Very High,EQ-MLC,Unlock,0.94,2013-01-01,"2,944"
Baroda BNP Paribas Nifty200 Momentum 30 Index Fund - Direct Plan,--,--,--,Very High,EQ-L&MC,Unlock,0.47,2024-10-15,26.00
Baroda BNP Paribas NIFTY 50 Index Fund - Direct Plan,--,2.71,41/94,Very High,EQ-LC,Unlock,0.16,2024-01-29,66.00
Baroda BNP Paribas Nifty Bank ETF,--,11.72,29/54,Very High,EQ-BANK,Unlock,0.09,2024-06-18,3.00
Baroda BNP Paribas Nifty Midcap 150 Index Fund - Direct Plan,--,--,--,Very High,EQ-MC,Unlock,0.39,2024-11-04,10.00
Baroda BNP Paribas Small Cap Fund - Direct Plan,--,-3.46,39/42,Very High,EQ-SC,Unlock,0.90,2023-10-30,"1,318"
Baroda BNP Paribas Value Fund - Direct Plan,--,-7.32,23/26,Very High,EQ-VAL,Unlock,1.08,2023-06-07,"1,332"
BHARAT 22 ETF,--,-7.68,143/146,Very High,EQ-LC,Unlock,0.07,2017-11-24,"17,067"
Canara Robeco Consumer Trends Fund - Direct Plan,3,3.72,5/16,Very High,EQ-Consumption,Unlock,0.80,2013-01-02,"1,925"
Canara Robeco ELSS Tax Saver Fund - Direct Plan,3,3.01,18/39,Very High,EQ-ELSS,Unlock,0.53,2013-01-02,"9,103"
Canara Robeco Flexi Cap Fund - Direct Plan,3,5.46,27/88,Very High,EQ-FLX,Unlock,0.55,2013-01-02,"13,588"
Canara Robeco Focused Fund - Direct Plan,4,9.94,5/88,Very High,EQ-FLX,Unlock,0.48,2021-05-17,"2,743"
Canara Robeco Infrastructure Fund - Direct Plan,4,0.64,3/20,Very High,EQ-INFRA,Unlock,0.98,2013-01-02,932.00
Canara Robeco Large and Mid Cap Fund - Direct Plan,3,5.88,6/44,Very High,EQ-L&MC,Unlock,0.56,2013-01-02,"26,118"
Canara Robeco Large Cap Fund - Direct Plan,4,5.38,4/94,Very High,EQ-LC,Unlock,0.45,2013-01-02,"16,617"
Canara Robeco Manufacturing Fund - Direct Plan,--,0.88,34/77,Very High,EQ-THEMATIC,Unlock,0.77,2024-03-11,"1,671"
Canara Robeco Mid Cap Fund - Direct Plan,--,5.07,11/43,Very High,EQ-MC,Unlock,0.59,2022-12-02,"3,154"
Canara Robeco Multi Cap Fund - Direct Plan,--,5.65,6/26,Very High,EQ-MLC,Unlock,0.43,2023-07-28,"4,542"
Canara Robeco Small Cap Fund - Direct Plan,3,0.49,19/42,Very High,EQ-SC,Unlock,0.46,2019-02-15,"13,104"
Canara Robeco Value Fund - Direct Plan,4,2.15,11/26,Very High,EQ-VAL,Unlock,0.62,2021-09-03,"1,325"
Capitalmind Flexi Cap Fund - Direct Plan,--,--,--,Very High,EQ-FLX,Unlock,--,--,--
CPSE ETF,--,-9.20,4/7,Very High,EQ-PSU,Unlock,0.07,2014-03-28,"35,998"
DSP Banking & Financial Services Fund - Direct Plan,--,21.70,1/30,Very High,EQ-BANK,Unlock,0.64,2023-12-08,"1,354"
DSP BSE Sensex ETF,--,2.84,37/146,Very High,EQ-LC,Unlock,0.07,2023-07-27,9.00
DSP BSE Sensex Next 30 ETF,--,--,--,Very High,EQ-LC,Unlock,0.15,2025-01-30,26.00
DSP BSE Sensex Next 30 Index Fund - Direct Plan,--,--,--,Very High,EQ-LC,Unlock,0.23,2025-01-30,11.00
DSP Business Cycle Fund - Direct Plan,--,--,--,Very High,EQ-THEMATIC,Unlock,0.63,2024-12-17,"1,148"
DSP ELSS Tax Saver Fund - Direct Plan,4,3.26,16/39,Very High,EQ-ELSS,Unlock,0.68,2013-01-01,"17,428"
DSP Flexi Cap Fund - Direct Plan,3,2.94,43/88,Very High,EQ-FLX,Unlock,0.66,2013-01-01,"12,188"
DSP Focused Fund - Direct Plan,3,6.18,23/88,Very High,EQ-FLX,Unlock,0.93,2013-01-01,"2,628"
DSP Global Clean Energy Fund of Fund - Direct Plan,--,15.11,44/51,Very High,EQ-INTL,Unlock,1.54,2013-01-03,88.00
DSP Global Innovation FoF - Direct Plan,--,24.00,--,Very High,EQ-INTL,Unlock,1.16,2022-02-14,"1,018"
DSP Healthcare Fund - Direct Plan,4,13.39,10/17,Very High,EQ-Pharma,Unlock,0.58,2018-11-30,"3,057"
DSP India T.I.G.E.R. Fund - Direct Plan,3,-5.08,13/20,Very High,EQ-INFRA,Unlock,0.73,2013-01-01,"5,517"
DSP Large Cap Fund - Direct Plan,5,5.46,3/94,Very High,EQ-LC,Unlock,0.92,2013-01-01,"6,323"
DSP Large & Mid Cap Fund - Direct Plan,4,1.81,21/44,Very High,EQ-L&MC,Unlock,0.63,2013-01-01,"15,663"
DSP Midcap Fund - Direct Plan,1,1.55,28/43,Very High,EQ-MC,Unlock,0.71,2013-01-01,"19,559"
