Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,1.75,3/23,5.23,8/22,7.11,14/21,7.01,11/21,10.05,14/17
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,-2.03,5/7,-0.86,3/7,3.78,5/7,9.49,4/6,-8.78,4/5
Aditya Birla Sun Life Quant Fund - Direct Plan,-0.72,43/124,-0.93,89/121,4.91,99/118,7.49,64/108,-4.28,58/77
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan,-1.06,69/103,0.01,24/102,9.41,7/99,11.60,8/96,6.26,22/88
Aditya Birla Sun Life Small Cap Fund - Direct Plan,-2.14,16/46,0.28,23/46,12.02,18/46,10.33,7/43,-1.47,31/42
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan,-1.06,63/124,0.15,49/121,7.74,62/118,8.77,51/108,4.85,15/77
Aditya Birla Sun Life Transportation and Logistics Fund - Direct Plan,0.64,9/124,1.50,14/121,12.17,15/118,10.17,36/108,-3.99,57/77
Aditya Birla Sun Life Value Fund - Direct Plan,-2.32,29/30,-2.12,28/30,7.01,8/30,3.74,26/29,-2.92,18/26
Angel One Nifty 50 ETF,-0.48,52/172,-1.31,109/170,--,--,--,--,--,--
Angel One Nifty 50 Index Fund - Direct Plan,-0.48,34/111,-1.32,80/110,--,--,--,--,--,--
Angel One Nifty Total Market ETF,-1.14,84/112,-0.95,65/110,5.98,52/106,--,--,--,--
Angel One Nifty Total Market Index Fund - Direct Plan,-1.14,78/103,-0.96,67/102,5.95,54/99,--,--,--,--
Axis BSE Sensex ETF,-0.34,11/172,-1.24,65/170,3.58,118/160,7.80,85/152,2.99,22/146
Axis BSE Sensex Index Fund - Direct Plan,-0.35,12/111,-1.26,52/110,3.57,84/105,7.75,60/99,2.86,23/94
Axis Business Cycles Fund - Direct Plan,-0.23,22/124,0.06,56/121,7.66,64/118,9.32,47/108,3.03,23/77
Axis Consumption Fund - Direct Plan,0.21,2/24,0.21,9/24,4.60,12/24,6.82,10/22,--,--
Axis ELSS Tax Saver Fund - Direct Plan,-0.02,5/40,-0.55,18/40,4.50,32/40,8.89,14/39,4.65,8/39
Axis ESG Integration Strategy Fund - Direct Plan,-0.44,6/10,-1.09,5/10,3.59,10/10,4.88,8/10,1.65,5/9
Axis Flexi Cap Fund - Direct Plan,0.13,6/103,0.41,13/102,7.80,21/99,11.24,12/96,7.41,15/88
Axis Focused Fund - Direct Plan,0.54,2/103,-0.36,40/102,5.75,62/99,11.63,7/96,6.70,20/88
