Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
DSP Nifty 50 Equal Weight Index Fund - Direct Plan,-0.96,74/111,-1.55,94/110,3.98,49/105,8.17,42/99,0.98,59/94
DSP Nifty 50 ETF,-0.48,38/172,-1.31,106/170,3.96,75/160,8.37,28/152,2.99,23/146
DSP Nifty 50 Index Fund - Direct Plan,-0.48,40/111,-1.32,74/110,3.93,66/105,8.31,23/99,2.84,25/94
DSP Nifty Bank ETF,0.50,13/65,0.23,20/64,3.96,35/64,17.44,20/59,11.77,26/54
DSP Nifty Bank Index Fund - Direct Plan,0.50,5/38,0.23,9/37,3.98,21/37,17.40,21/33,11.64,23/30
DSP Nifty Healthcare ETF,1.33,6/29,4.48,14/28,7.67,15/27,6.57,13/27,11.87,13/23
DSP Nifty Healthcare Index Fund - Direct Plan,1.33,4/23,4.39,14/22,--,--,--,--,--,--
DSP Nifty IT ETF,-4.07,21/32,-8.60,21/32,1.05,24/31,-17.45,22/30,-9.40,16/26
DSP Nifty IT Index Fund - Direct Plan,-4.05,16/21,-8.49,15/21,--,--,--,--,--,--
DSP Nifty Midcap 150 Quality 50 ETF,-2.19,56/64,-1.13,42/63,8.22,43/62,5.72,46/58,-0.78,40/53
DSP Nifty Midcap 150 Quality 50 Index Fund - Direct Plan,-2.19,46/52,-1.13,37/52,8.21,38/51,5.74,43/48,-0.79,35/43
DSP Nifty Next 50 Index Fund - Direct Plan,-1.52,96/111,-0.71,19/110,4.61,25/105,7.82,57/99,-6.68,88/94
DSP Nifty Private Bank ETF,0.30,28/65,-1.53,53/64,1.81,59/64,16.53,44/59,9.29,41/54
DSP Nifty Private Bank Index Fund - Direct Plan,0.29,13/38,-1.56,32/37,1.68,37/37,--,--,--,--
DSP Nifty PSU Bank ETF,-2.21,57/65,0.69,4/64,7.75,5/64,14.40,54/59,-1.76,50/54
DSP Nifty Smallcap250 Quality 50 Index Fund - Direct Plan,-3.72,45/46,-1.18,40/46,12.10,9/46,5.78,40/43,-3.18,38/42
DSP Nifty Top 10 Equal Weight ETF,-0.94,102/172,-3.40,167/170,1.50,157/160,5.02,138/152,--,--
DSP Nifty Top 10 Equal Weight Index Fund - Direct Plan,-0.95,70/111,-3.43,110/110,1.45,104/105,4.86,96/99,--,--
DSP Quant Fund - Direct Plan,-1.00,57/124,-1.21,96/121,4.87,100/118,4.68,85/108,0.90,33/77
DSP Small Cap Fund - Direct Plan,-2.00,12/46,0.66,14/46,16.40,1/46,11.01,5/43,5.18,7/42
DSP US Flexible Equity Fund of Fund - Direct Plan,1.87,14/51,4.25,26/51,25.32,5/51,6.10,38/51,23.84,21/51
DSP Value Fund - Direct Plan,0.68,--,2.13,--,7.23,--,7.95,--,8.20,--
DSP World Gold FoF - Direct Plan,4.67,2/51,3.59,37/51,11.15,44/51,41.49,1/51,58.17,2/51
DSP World Mining Fund of Fund - Direct Plan,3.46,5/51,8.19,5/51,12.84,38/51,15.91,11/51,16.96,39/51
Edelweiss ASEAN Equity Off-shore Fund - Direct Plan,0.33,45/51,5.50,14/51,11.21,42/51,7.70,30/51,20.54,34/51
Edelweiss BSE Capital Markets & Insurance ETF,-2.07,119/147,-2.62,125/142,12.86,15/137,19.68,9/124,--,--
Edelweiss BSE Internet Economy Index Fund - Direct Plan,2.52,2/124,0.97,25/121,--,--,--,--,--,--
Edelweiss Business Cycle Fund - Direct Plan,-0.74,44/124,-1.54,100/121,6.96,72/118,6.09,77/108,--,--
Edelweiss Consumption Fund - Direct Plan,-0.80,17/24,-1.15,22/24,3.77,18/24,--,--,--,--
Edelweiss ELSS Tax Saver Fund - Direct Plan,-1.03,30/40,-1.67,37/40,6.10,17/40,7.25,25/39,2.84,19/39
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan,0.93,39/51,2.36,46/51,16.47,28/51,15.23,15/51,18.53,38/51
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan,1.56,20/51,3.07,43/51,11.82,40/51,27.36,2/51,30.72,9/51
Edelweiss Flexi Cap Fund - Direct Plan,-0.76,48/103,-1.25,77/102,5.29,73/99,7.25,66/96,2.45,50/88
Edelweiss Focused Fund - Direct Plan,-1.26,87/103,-2.10,89/102,3.90,94/99,5.45,80/96,2.72,46/88
Edelweiss Greater China Equity Off-shore Fund - Direct Plan,1.15,35/51,5.78,12/51,21.83,12/51,17.53,7/51,37.68,5/51
Edelweiss Large Cap Fund - Direct Plan,-0.85,65/111,-1.76,102/110,3.36,95/105,6.61,86/99,1.39,46/94
Edelweiss Large & Mid Cap Fund - Direct Plan,-1.11,38/63,-1.39,35/60,7.19,18/58,7.23,32/55,4.03,11/44
Edelweiss Mid Cap Fund - Direct Plan,-1.55,23/52,-2.00,47/52,9.02,34/51,8.53,32/48,8.98,3/43
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund - Direct Plan,2.35,1/23,4.74,10/22,6.70,17/21,5.80,13/21,9.00,15/17
Edelweiss Multi Cap Fund - Direct Plan,-1.22,17/36,-1.01,34/36,6.91,29/35,7.39,26/34,4.16,10/26
Edelweiss Nifty 100 Quality 30 Index Fund - Direct Plan,-2.16,110/111,-2.50,107/110,3.23,97/105,1.07,99/99,-5.40,77/94
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,-3.06,37/38,-5.18,37/38,5.93,34/37,0.99,35/36,--,--
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Direct Plan,-3.07,36/36,-5.17,36/36,5.87,34/35,0.85,34/34,--,--
Edelweiss Nifty 50 Index Fund - Direct Plan,-0.48,28/111,-1.31,65/110,3.96,53/105,8.33,20/99,2.90,19/94
Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Direct Plan,-0.44,24/63,-1.93,46/60,2.05,57/58,1.97,52/55,-8.60,35/44
Edelweiss Nifty Bank ETF,0.51,5/65,0.23,16/64,3.97,30/64,17.47,14/59,--,--
Edelweiss NIFTY Large Mid Cap 250 Index Fund - Direct Plan,-1.14,42/63,-0.90,26/60,6.69,25/58,8.84,18/55,1.81,22/44
Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan,-0.75,8/52,-3.08,48/52,7.81,43/51,5.80,41/48,-3.05,39/43
Edelweiss Nifty Next 50 Index Fund - Direct Plan,-1.52,94/111,-0.71,21/110,4.59,27/105,7.68,71/99,-6.61,86/94
Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan,-2.92,31/46,-0.32,29/46,12.13,8/46,8.70,16/43,-0.49,23/42
Edelweiss Recently Listed IPO Fund - Direct Plan,-0.71,42/124,2.05,9/121,11.60,19/118,4.69,84/108,2.98,24/77
Edelweiss Small Cap Fund - Direct Plan,-2.24,19/46,0.40,19/46,10.98,30/46,7.72,30/43,4.33,11/42
Edelweiss Technology Fund - Direct Plan,-0.70,5/21,-1.20,1/21,11.99,2/20,-1.49,4/19,4.26,2/15
Edelweiss US Technology Equity FoF - Direct Plan,-0.34,47/51,3.36,39/51,25.08,6/51,2.28,44/51,35.99,6/51
Edelweiss US Value Equity Off-shore Fund - Direct Plan,0.87,41/51,4.07,30/51,11.16,43/51,0.57,48/51,12.35,48/51
Franklin Asian Equity Fund - Direct Plan,1.61,19/51,2.57,45/51,15.07,29/51,12.62,20/51,15.54,42/51
Franklin Build India Fund - Direct Plan,-1.95,13/22,-0.04,4/22,7.61,14/21,9.77,5/21,-0.82,5/20
Franklin India Dividend Yield Fund - Direct Plan,-1.32,7/10,-0.82,6/10,2.10,10/10,2.03,9/10,-4.87,9/9
Franklin India ELSS Tax Saver Fund - Direct Plan,0.02,4/40,-0.69,21/40,4.96,29/40,8.02,20/39,2.75,24/39
Franklin India Flexi Cap Fund - Direct Plan,-0.06,12/103,-0.87,62/102,5.04,78/99,8.63,44/96,3.16,41/88
Franklin India Focused Equity Fund - Direct Plan,0.76,1/103,0.42,12/102,6.47,41/99,10.16,22/96,2.56,49/88
Franklin India Large Cap Fund - Direct Plan,0.39,1/111,-0.62,14/110,5.39,12/105,9.09,11/99,4.41,6/94
Franklin India Large & Mid Cap Fund - Direct Plan,-0.99,35/63,-1.76,41/60,8.19,9/58,10.15,10/55,5.54,7/44
Franklin India Mid Cap Fund - Direct Plan,-1.64,38/52,-0.42,17/52,8.29,37/51,8.96,29/48,4.35,13/43
Franklin India Multi Cap Fund - Direct Plan,-1.25,18/36,0.20,8/36,7.23,25/35,9.46,14/34,--,--
Franklin India NSE Nifty 50 Index - Direct Plan,-0.48,33/111,-1.32,72/110,3.91,73/105,8.28,30/99,2.94,16/94
Franklin India Opportunities Fund - Direct Plan,-0.65,37/124,0.64,35/121,7.37,68/118,8.25,58/108,3.69,20/77
Franklin India Small Cap Fund - Direct Plan,-2.30,21/46,-0.04,28/46,10.01,38/46,7.92,26/43,-3.96,40/42
Franklin India Technology Fund - Direct Plan,0.33,1/21,-1.40,2/21,9.79,5/20,-3.86,9/19,-0.78,7/15
Franklin U.S. Opportunities Equity Active FoF - Direct Plan,1.30,25/51,3.76,33/51,18.00,21/51,1.74,46/51,20.98,31/51
Groww Banking & Financial Services Fund - Direct Plan,-0.01,20/38,1.01,2/37,8.86,3/37,19.48,6/33,12.60,17/30
Groww BSE Power ETF,--,--,--,--,--,--,--,--,--,--
Groww BSE Power ETF FOF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Groww ELSS Tax Saver Fund - Direct Plan,-0.83,24/40,0.18,5/40,9.74,3/40,7.14,29/39,1.39,28/39
Groww Large Cap Fund - Direct Plan,-0.21,7/111,-0.51,11/110,6.28,3/105,9.98,3/99,0.97,61/94
Groww Multicap Fund - Direct Plan,-0.95,10/36,0.57,4/36,12.19,1/35,12.06,4/34,--,--
Groww Nifty 200 ETF,-0.86,39/77,-1.25,35/73,4.71,53/71,--,--,--,--
Groww Nifty 200 ETF FoF - Direct Plan,-0.80,31/63,-1.07,33/60,5.00,45/58,--,--,--,--
Groww Nifty 500 Low Volatility 50 ETF,-1.04,68/112,-1.42,85/110,--,--,--,--,--,--
Groww Nifty 500 Momentum 50 ETF,-0.94,60/112,-4.93,107/110,6.36,38/106,--,--,--,--
Groww Nifty 500 Momentum 50 ETF FoF - Direct Plan,-1.03,65/103,-4.36,98/102,6.53,39/99,--,--,--,--
Groww Nifty 50 ETF,--,--,--,--,--,--,--,--,--,--
Groww Nifty 50 Index Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Groww Nifty EV & New Age Automotive ETF,-1.16,78/147,-0.03,65/142,8.44,62/137,3.78,99/124,--,--
Groww Nifty EV & New Age Automotive ETF FoF - Direct Plan,-1.26,73/124,-0.36,68/121,7.86,60/118,3.35,93/108,--,--
Groww Nifty India Defence ETF,-2.05,115/147,-7.93,140/142,20.19,2/137,30.89,2/124,--,--
Groww Nifty India Defence ETF FoF - Direct Plan,-2.17,105/124,-7.86,119/121,20.24,1/118,30.50,3/108,--,--
Groww Nifty India Internet ETF,5.33,2/147,--,--,--,--,--,--,--,--
Groww Nifty India Internet ETF FoF - Direct Plan,5.27,1/124,--,--,--,--,--,--,--,--
Groww Nifty India Railways PSU ETF,-2.29,10/11,-4.25,10/11,5.21,2/10,--,--,--,--
Groww Nifty India Railways PSU Index Fund - Direct Plan,-2.29,7/7,-4.26,7/7,5.12,2/7,--,--,--,--
Groww Nifty Non-Cyclical Consumer Index Fund - Direct Plan,-0.15,11/24,-0.02,12/24,2.36,21/24,6.02,16/22,0.03,10/16
Groww Nifty Smallcap 250 Index Fund - Direct Plan,-2.93,39/46,-0.38,36/46,12.04,14/46,8.67,18/43,-0.62,24/42
Groww Nifty Total Market Index Fund - Direct Plan,-1.14,79/103,-0.97,69/102,5.94,55/99,8.32,50/96,1.01,59/88
Groww Value Fund - Direct Plan,-0.96,7/30,-0.24,13/30,7.19,5/30,12.54,1/29,5.32,2/26
HDFC Banking & Financial Services Fund - Direct Plan,-0.36,25/38,-0.68,24/37,4.71,17/37,17.47,17/33,12.81,16/30
HDFC BSE 500 ETF,-1.07,73/112,-0.93,62/110,5.63,63/106,8.39,42/101,0.56,58/92
HDFC BSE 500 Index Fund - Direct Plan,-1.07,70/103,-0.95,65/102,5.60,66/99,8.25,52/96,0.52,65/88
HDFC BSE Sensex ETF,-0.35,18/172,-1.26,73/170,3.57,122/160,7.80,88/152,2.98,27/146
HDFC BSE Sensex Index Fund Direct Plan,-0.35,17/111,-1.27,56/110,3.52,89/105,7.69,67/99,2.78,36/94
HDFC Business Cycle Fund - Direct Plan,1.07,3/124,2.60,4/121,9.66,42/118,10.36,32/108,4.39,18/77
HDFC Defence Fund - Direct Plan,-2.29,108/124,-6.45,114/121,16.39,6/118,23.16,4/108,3.40,22/77
HDFC Developed World Equity Passive FoF - Direct Plan,2.34,--,4.82,--,17.40,--,8.29,--,21.09,--
HDFC Dividend Yield Fund - Direct Plan,-1.10,2/10,-0.62,5/10,6.01,3/10,7.04,5/10,-1.50,5/9
HDFC ELSS Tax Saver Fund - Direct Plan,0.08,3/40,-0.69,22/40,4.30,33/40,10.90,6/39,6.10,5/39
HDFC Flexi Cap Fund - Direct Plan,0.06,8/103,-0.42,42/102,4.05,92/99,10.94,16/96,8.34,11/88
HDFC Focused Fund - Direct Plan,-0.08,13/103,-0.22,32/102,4.41,85/99,11.29,11/96,9.27,8/88
HDFC Housing Opportunities Fund - Direct Plan,-0.80,50/124,0.08,51/121,7.57,66/118,10.15,37/108,-4.77,60/77
HDFC Infrastructure Fund - Direct Plan,-0.94,2/22,-0.11,6/22,8.06,12/21,10.54,4/21,-1.19,6/20
HDFC Innovation Fund - Direct Plan,0.69,8/124,--,--,--,--,--,--,--,--
HDFC Large and Mid Cap Fund - Direct Plan,-1.24,47/63,-0.50,16/60,7.12,21/58,9.66,13/55,2.49,17/44
HDFC Large Cap Fund - Direct Plan,0.06,4/111,-0.16,3/110,3.63,80/105,7.43,82/99,1.29,49/94
HDFC Manufacturing Fund - Direct Plan,-1.05,62/124,2.45,5/121,10.95,24/118,10.30,33/108,0.38,36/77
HDFC Mid Cap Fund - Direct Plan,-1.74,42/52,0.70,3/52,10.27,11/51,10.09,14/48,5.73,7/43
HDFC MNC Fund - Direct Plan,-0.38,1/6,2.23,1/6,8.41,3/6,4.16,3/6,-8.34,5/5
HDFC Multi Cap Fund - Direct Plan,-1.49,26/36,-0.51,25/36,7.89,19/35,8.54,21/34,0.59,22/26
HDFC NIFTY 100 Equal Weight Index Fund - Direct Plan,-1.23,87/111,-1.00,39/110,4.82,20/105,8.16,43/99,-2.47,74/94
HDFC NIFTY 100 ETF,-0.66,84/172,-1.23,63/170,4.02,56/160,8.16,44/152,1.00,83/146
HDFC NIFTY 100 Index Fund - Direct Plan,-0.66,58/111,-1.23,51/110,4.01,46/105,8.15,44/99,0.94,63/94
HDFC NIFTY100 Low Volatility 30 ETF,-1.02,119/172,-0.21,4/170,3.63,115/160,5.04,136/152,1.50,77/146
HDFC NIFTY100 Low Volatility 30 Index Fund - Direct Plan,-1.02,80/111,-0.23,7/110,3.58,83/105,4.95,95/99,1.32,48/94
HDFC NIFTY100 Quality 30 ETF,-2.16,169/172,-2.49,164/170,3.27,145/160,1.09,150/152,-5.35,118/146
HDFC Nifty100 Quality 30 Index Fund - Direct Plan,-2.16,111/111,-2.51,108/110,3.21,98/105,--,--,--,--
HDFC NIFTY200 Momentum 30 ETF,-0.26,10/77,-3.62,65/73,6.26,30/71,2.44,44/65,-12.84,45/54
HDFC NIFTY200 Momentum 30 Index Fund - Direct Plan,-0.27,14/63,-3.65,57/60,6.21,34/58,2.35,43/55,-13.09,43/44
HDFC Nifty500 Multicap 50:25:25 Index Fund - Direct Plan,-1.48,24/36,-0.87,32/36,7.33,24/35,8.72,17/34,--,--
HDFC NIFTY50 Equal Weight Index Fund - Direct Plan,-0.96,75/111,-1.55,97/110,3.97,50/105,8.14,45/99,0.97,60/94
HDFC NIFTY 50 ETF,-0.48,48/172,-1.31,101/170,3.98,63/160,8.39,23/152,3.01,16/146
HDFC NIFTY 50 Index Fund Direct Plan,-0.48,41/111,-1.32,82/110,3.93,71/105,8.28,31/99,2.80,29/94
HDFC NIFTY50 Value 20 ETF,-1.24,14/37,-2.23,33/37,1.00,33/37,-2.93,31/35,-7.35,24/31
HDFC NIFTY Bank ETF,0.50,12/65,0.23,22/64,3.95,36/64,17.44,21/59,11.78,24/54
HDFC NIFTY Growth Sectors 15 ETF,-1.51,98/147,-0.56,85/142,4.05,123/137,-2.27,121/124,-4.62,57/87
HDFC Nifty India Digital Index Fund - Direct Plan,0.15,2/21,-2.40,5/21,7.60,7/20,-2.14,7/19,--,--
HDFC NIFTY IT ETF,-4.07,26/32,-8.60,24/32,1.06,18/31,-17.44,20/30,-9.41,17/26
HDFC Nifty LargeMidcap 250 Index Fund - Direct Plan,-1.14,44/63,-0.93,29/60,6.65,27/58,8.81,19/55,--,--
HDFC NIFTY Midcap 150 ETF,-1.61,31/64,-0.55,21/63,9.37,21/62,9.38,20/58,2.35,23/53
HDFC NIFTY Midcap 150 Index Fund - Direct Plan,-1.61,29/52,-0.57,25/52,9.31,25/51,9.24,21/48,2.12,22/43
HDFC NIFTY Next 50 ETF,-1.52,151/172,-0.71,27/170,4.59,32/160,7.78,93/152,-6.48,126/146
HDFC NIFTY Next 50 Index Fund - Direct Plan,-1.52,98/111,-0.71,23/110,4.56,34/105,7.70,66/99,-6.85,89/94
HDFC NIFTY Private Bank ETF,0.30,25/65,-1.53,54/64,1.80,60/64,16.52,45/59,9.28,42/54
HDFC NIFTY PSU BANK ETF,-2.21,59/65,0.66,6/64,7.68,8/64,14.29,56/59,-1.82,51/54
HDFC NIFTY Realty Index Fund - Direct Plan,-4.93,122/124,-6.78,116/121,10.54,28/118,11.22,22/108,-10.84,74/77
HDFC Nifty Smallcap 250 ETF,-2.92,31/49,-0.36,29/49,12.09,7/49,8.72,10/46,-0.49,19/45
HDFC Nifty Smallcap 250 Index Fund - Direct Plan,-2.93,33/46,-0.37,31/46,12.03,16/46,8.67,17/43,-0.65,25/42
HDFC Nifty Top 20 Equal Weight Index Fund - Direct Plan,-0.94,68/111,-2.09,106/110,2.05,102/105,--,--,--,--
HDFC Non-Cyclical Consumer Fund - Direct Plan,0.11,4/24,1.74,2/24,5.18,9/24,7.40,8/22,4.06,4/16
HDFC Pharma And Healthcare Fund - Direct Plan,0.52,15/23,6.88,3/22,10.85,4/21,11.79,1/21,26.82,2/17
HDFC Retirement Savings Fund Equity Plan - Direct Plan,-0.62,39/103,-0.72,57/102,4.70,83/99,8.15,54/96,2.80,45/88
HDFC Small Cap Fund - Direct Plan,-1.31,1/46,2.31,2/46,14.76,2/46,11.32,4/43,4.86,8/42
HDFC Technology Fund - Direct Plan,-2.13,13/21,-4.90,13/21,5.24,14/20,-6.21,10/19,2.43,3/15
HDFC Transportation and Logistics Fund - Direct Plan,-0.80,49/124,4.23,1/121,16.30,7/118,15.91,7/108,2.19,30/77
HDFC Value Fund - Direct Plan,-0.81,5/30,-0.46,17/30,6.57,12/30,10.19,6/29,3.89,5/26
Helios Financial Services Fund - Direct Plan,0.17,15/38,0.43,5/37,7.27,8/37,16.95,28/33,17.88,4/30
Helios Flexi Cap Fund - Direct Plan,0.14,5/103,2.00,2/102,9.21,8/99,11.34,9/96,8.25,12/88
Helios Large & Mid Cap Fund - Direct Plan,0.47,2/63,1.61,1/60,11.30,3/58,14.01,2/55,--,--
Helios Mid Cap Fund - Direct Plan,-1.23,15/52,1.69,1/52,13.50,4/51,--,--,--,--
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,0.88,40/51,4.57,22/51,19.85,16/51,17.43,8/51,22.76,24/51
HSBC Brazil Fund - Direct Plan,-1.72,49/51,-2.18,51/51,3.34,50/51,14.71,16/51,10.41,51/51
HSBC Business Cycles Fund - Direct Plan,-2.03,99/124,-2.11,106/121,9.27,45/118,12.21,14/108,4.78,16/77
HSBC Consumption Fund - Direct Plan,0.28,1/24,2.14,1/24,8.74,1/24,9.51,3/22,8.48,1/16
HSBC ELSS Tax Saver Fund - Direct Plan,-1.34,34/40,-0.88,30/40,8.03,7/40,8.38,16/39,4.53,9/39
HSBC Financial Services Fund - Direct Plan,-1.93,36/38,-1.92,35/37,5.66,11/37,--,--,--,--
HSBC Flexi Cap Fund - Direct Plan,-1.24,85/103,-1.41,81/102,8.19,18/99,7.99,60/96,3.47,38/88
HSBC Focused Fund - Direct Plan,-0.66,43/103,-0.21,31/102,8.87,12/99,6.56,75/96,4.25,32/88
HSBC Global Emerging Markets Fund - Direct Plan,1.68,18/51,4.40,23/51,16.89,25/51,17.82,6/51,22.11,28/51
HSBC Global Equity Climate Change FoF - Direct Plan,1.26,29/51,3.90,32/51,14.16,31/51,5.37,40/51,11.63,49/51
HSBC India Export Opportunities Fund - Direct Plan,-1.43,83/124,-1.81,103/121,8.13,55/118,2.84,95/108,--,--
HSBC Infrastructure Fund - Direct Plan,-2.52,20/22,-2.10,22/22,7.64,13/21,7.01,18/21,-5.79,15/20
HSBC Large and Mid Cap Fund - Direct Plan,0.27,3/63,-0.58,19/60,9.91,4/58,6.30,36/55,1.27,28/44
HSBC Large Cap Fund - Direct Plan,-0.13,5/111,-0.75,31/110,3.90,74/105,5.49,91/99,1.27,50/94
HSBC Midcap Fund - Direct Plan,-0.70,5/52,-1.21,40/52,12.09,7/51,8.85,31/48,4.07,15/43
HSBC Multi Cap Fund - Direct Plan,-1.29,20/36,-0.83,30/36,7.98,16/35,7.72,24/34,1.57,21/26
HSBC Nifty 50 Index Fund - Direct Plan,-0.48,38/111,-1.32,76/110,3.96,57/105,8.29,27/99,2.79,32/94
HSBC Nifty Next 50 Index Fund - Direct Plan,-1.52,105/111,-0.72,27/110,4.59,26/105,7.54,78/99,-6.91,91/94
HSBC Small Cap Fund - Direct Plan,-2.67,29/46,-0.71,39/46,12.04,13/46,5.80,39/43,-2.08,34/42
HSBC Tax Saver Equity Fund - Direct Plan,-0.50,--,0.14,--,8.80,--,8.86,--,11.50,--
HSBC Value Fund - Direct Plan,-1.70,24/30,-0.87,24/30,8.59,2/30,10.51,4/29,2.77,8/26
ICICI Prudential Active Momentum Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
ICICI Prudential Banking and Financial Services Fund - Direct Plan,0.30,11/38,-0.03,16/37,4.96,15/37,17.08,27/33,13.56,13/30
ICICI Prudential BHARAT 22 FOF - Direct Plan,-1.50,92/111,-1.71,101/110,1.98,103/105,4.15,98/99,-8.03,94/94
ICICI Prudential Bharat Consumption Fund - Direct Plan,-0.66,16/24,0.37,8/24,5.55,7/24,5.26,17/22,0.63,8/16
ICICI Prudential BSE 500 ETF,-1.07,74/112,-0.94,64/110,5.63,64/106,8.37,43/101,0.62,55/92
ICICI Prudential BSE 500 ETF FOF - Direct Plan,-0.25,23/103,0.21,19/102,6.44,43/99,9.01,40/96,1.64,55/88
ICICI Prudential BSE Midcap Select ETF,-1.62,35/64,-1.56,50/63,6.84,60/62,4.44,53/58,-0.39,38/53
ICICI Prudential BSE Sensex ETF,-0.35,13/172,-1.25,69/170,3.58,119/160,7.81,80/152,3.01,15/146
ICICI Prudential BSE Sensex Index Fund - Direct Plan,-0.35,14/111,-1.27,55/110,3.52,88/105,7.69,69/99,2.79,33/94
ICICI Prudential Business Cycle Fund - Direct Plan,-0.47,33/124,-0.16,63/121,6.70,74/118,13.11,10/108,8.14,8/77
ICICI Prudential Commodities Fund - Direct Plan,-0.09,19/124,2.40,6/121,9.92,38/118,12.32,13/108,3.63,21/77
ICICI Prudential Dividend Yield Equity Fund - Direct Plan,-0.68,1/10,-0.55,3/10,3.90,8/10,8.81,2/10,3.11,1/9
ICICI Prudential ELSS Tax Saver - Direct Plan,-0.21,8/40,-0.80,26/40,3.89,38/40,9.90,10/39,4.26,11/39
ICICI Prudential Energy Opportunities Fund - Direct Plan,-2.95,5/6,-0.10,4/6,6.13,4/5,10.74,2/4,1.69,2/4
ICICI Prudential Equity Minimum Variance Fund - Direct Plan,-1.04,61/124,-1.69,102/121,2.45,112/118,7.62,61/108,--,--
ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan,-0.25,3/10,-1.08,4/10,4.45,7/10,7.97,4/10,7.48,1/9
ICICI Prudential Exports and Services Fund - Direct Plan,-0.64,35/124,-0.73,79/121,4.92,98/118,9.61,42/108,6.28,13/77
ICICI Prudential Flexicap Fund - Direct Plan,-0.20,20/103,0.46,10/102,6.97,33/99,9.38,34/96,3.01,42/88
ICICI Prudential FMCG Fund - Direct Plan,-3.31,118/124,-0.46,70/121,-0.33,117/118,-0.12,104/108,-8.65,71/77
ICICI Prudential Focused Equity Fund - Direct Plan,-0.05,11/103,-0.35,39/102,6.26,49/99,14.04,2/96,8.10,14/88
ICICI Prudential Global Advantage Fund (FOF) - Direct Plan,3.87,4/51,6.60,8/51,13.65,34/51,12.91,18/51,23.54,23/51
ICICI Prudential Global Stable Equity Fund (FOF) - Direct Plan,1.95,12/51,2.60,44/51,7.47,48/51,7.28,31/51,13.88,47/51
ICICI Prudential Housing Opportunities Fund - Direct Plan,-0.55,34/124,0.89,27/121,6.97,71/118,12.14,15/108,4.68,17/77
ICICI Prudential India Equity FOF - Direct Plan,-0.79,49/103,-0.23,33/102,5.25,74/99,8.06,57/96,4.67,30/88
ICICI Prudential India Opportunities Fund - Direct Plan,-0.95,53/124,-1.03,90/121,4.33,106/118,9.46,43/108,6.56,12/77
ICICI Prudential Infrastructure Fund - Direct Plan,-1.61,6/22,-0.30,9/22,9.00,9/21,11.40,2/21,2.29,1/20
ICICI Prudential Innovation Fund - Direct Plan,-0.43,29/124,-0.69,78/121,6.61,75/118,8.96,50/108,5.11,14/77
ICICI Prudential Large Cap Fund - Direct Plan,-0.44,24/111,-0.83,33/110,4.24,40/105,8.91,12/99,3.79,9/94
ICICI Prudential Large & Mid Cap Fund - Direct Plan,-1.29,49/63,-0.97,31/60,4.63,47/58,8.81,20/55,5.18,9/44
ICICI Prudential Manufacturing Fund - Direct Plan,-1.26,74/124,0.43,39/121,10.82,27/118,10.78,29/108,-0.42,40/77
ICICI Prudential Midcap Fund - Direct Plan,-1.36,19/52,-0.78,34/52,14.22,2/51,13.32,3/48,5.40,8/43
ICICI Prudential MNC Fund - Direct Plan,-1.08,2/6,0.63,4/6,8.09,4/6,3.60,4/6,-3.17,3/5
ICICI Prudential Multicap Fund - Direct Plan,-1.16,15/36,-0.08,11/36,5.90,33/35,8.72,18/34,2.89,16/26
ICICI Prudential NASDAQ 100 Index Fund - Direct Plan,1.25,30/51,5.39,17/51,21.05,15/51,7.14,32/51,28.08,12/51
ICICI Prudential Nifty 100 ETF,-0.66,85/172,-1.24,64/170,3.98,66/160,8.07,56/152,0.83,87/146
ICICI Prudential Nifty 100 Low Volatility 30 ETF,-1.02,121/172,-0.22,7/170,3.60,117/160,4.98,140/152,1.38,78/146
ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF - Direct Plan,-0.95,71/111,0.17,2/110,3.76,77/105,4.99,93/99,1.10,56/94
ICICI Prudential Nifty 200 Momentum 30 ETF,-0.26,11/77,-3.63,66/73,6.26,31/71,2.42,45/65,-13.04,50/54
ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan,-0.27,9/63,-3.64,56/60,6.22,33/58,2.24,45/55,-13.10,44/44
ICICI Prudential Nifty 200 Quality 30 ETF,-2.87,72/77,-2.95,54/73,3.19,61/71,0.77,62/65,-5.90,35/54
ICICI Prudential Nifty200 Quality 30 Index Fund - Direct Plan,-2.87,61/63,-2.96,51/60,--,--,--,--,--,--
