Funds,3 Yr Ret (%),3 Yr Rank,5 Yr Ret (%),5 Yr Rank,10 Yr Ret (%),10 Yr Rank,15 Yr Ret (%),15 Yr Rank,20 Yr Ret (%),20 Yr Rank
DSP Aggressive Hybrid Fund - Direct Plan,18.81,10/42,19.06,16/39,13.43,6/23,--,--,--,--
DSP Arbitrage Fund - Direct Plan,7.59,12/24,6.10,16/23,--,--,--,--,--,--
DSP Dynamic Asset Allocation Fund - Direct Plan,13.58,18/27,12.39,15/22,10.37,7/10,--,--,--,--
DSP Equity Savings Fund - Direct Plan,11.74,13/22,12.66,8/22,--,--,--,--,--,--
DSP Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
DSP Regular Savings Fund - Direct Plan,11.21,13/28,10.34,11/25,8.28,14/21,--,--,--,--
Edelweiss Aggressive Hybrid Fund - Direct Plan,21.05,7/42,22.31,7/39,13.73,--,--,--,--,--
Edelweiss Arbitrage Fund - Direct Plan,7.75,3/24,6.40,3/23,6.62,1/14,--,--,--,--
Edelweiss Balanced Advantage Fund - Direct Plan,14.38,11/27,15.52,5/22,11.36,3/10,--,--,--,--
Edelweiss Equity Savings Fund - Direct Plan,12.83,6/22,11.96,11/22,9.86,4/9,--,--,--,--
Edelweiss Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Edelweiss Multi Asset Omni FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Aggressive Hybrid Fund - Direct Plan,18.07,14/42,19.73,15/39,12.60,13/23,--,--,--,--
Franklin India Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Conservative Hybrid Fund - Direct Plan,11.22,11/28,10.01,14/25,8.40,13/21,--,--,--,--
Franklin India Dynamic Asset Allocation Active FoF - Direct Plan,15.83,7/27,19.96,2/22,11.21,4/10,--,--,--,--
Franklin India Equity Savings Fund - Direct Plan,10.01,18/22,11.44,13/22,--,--,--,--,--,--
Franklin India Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Retirement Fund - Direct Plan,12.63,3/4,11.28,4/4,9.03,3/4,--,--,--,--
Groww Aggressive Hybrid Fund - Direct Plan,15.10,37/42,16.83,31/39,--,--,--,--,--,--
HDFC Arbitrage Fund - Direct Plan,7.57,--,6.14,--,6.23,--,--,--,--,--
HDFC Arbitrage Fund - Wholesale - Direct Plan,7.57,14/24,6.14,15/23,6.23,12/14,--,--,--,--
HDFC Balanced Advantage Fund - Direct Plan,21.52,1/27,24.39,1/22,14.68,--,--,--,--,--
HDFC Children's Fund - Direct Plan,17.90,16/42,20.29,12/39,14.20,4/23,--,--,--,--
HDFC Equity Savings Fund - Direct Plan,11.99,10/22,13.50,4/22,10.69,--,--,--,--,--
HDFC Hybrid Debt Fund - Direct Plan,11.85,5/28,12.03,5/25,9.43,6/21,--,--,--,--
HDFC Hybrid Equity Fund - Direct Plan,15.64,31/42,18.87,17/39,13.02,10/23,--,--,--,--
HDFC Multi-Asset Active FoF - Direct Plan,18.19,9/21,--,--,--,--,--,--,--,--
HDFC Multi Asset Fund - Direct Plan,16.14,14/21,16.83,7/13,12.06,--,--,--,--,--
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,10.94,15/28,10.26,12/25,--,--,--,--,--,--
HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan,17.63,19/42,19.85,14/39,--,--,--,--,--,--
Helios Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
HSBC Aggressive Hybrid Active FoF - Direct Plan,17.23,21/42,18.74,18/39,12.26,15/23,--,--,--,--
HSBC Aggressive Hybrid Fund - Direct Plan,17.62,20/42,17.64,24/39,11.99,16/23,--,--,--,--
HSBC Arbitrage Fund - Direct Plan,7.49,16/24,6.16,14/23,6.42,8/14,--,--,--,--
HSBC Balanced Advantage Fund - Direct Plan,14.17,14/27,12.08,19/22,9.09,--,--,--,--,--
HSBC Conservative Hybrid Fund - Direct Plan,11.40,9/28,9.91,15/25,8.45,12/21,--,--,--,--
HSBC Equity Savings Fund - Direct Plan,13.91,1/22,14.59,1/22,9.50,5/9,--,--,--,--
HSBC Multi Asset Active FoF - Direct Plan,16.44,13/21,16.87,6/13,11.70,2/7,--,--,--,--
HSBC Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,16.09,15/21,16.96,--,13.04,--,--,--,--,--
ICICI Prudential Balanced Advantage Fund - Direct Plan,14.30,12/27,15.31,8/22,11.80,2/10,--,--,--,--
ICICI Prudential Child Care Fund - Gift Plan - Direct Plan,21.47,5/42,20.45,11/39,13.20,8/23,--,--,--,--
ICICI Prudential Equity Arbitrage Fund - Direct Plan,7.62,9/24,6.21,12/23,6.42,7/14,--,--,--,--
ICICI Prudential Equity & Debt Fund - Direct Plan,21.40,6/42,25.74,2/39,16.25,1/23,--,--,--,--
ICICI Prudential Equity Savings Fund - Direct Plan,9.61,19/22,10.23,18/22,8.91,6/9,--,--,--,--
ICICI Prudential Multi Asset Fund - Direct Plan,21.33,3/21,24.47,2/13,15.91,--,--,--,--,--
ICICI Prudential Passive Multi-Asset FoF - Direct Plan,15.66,17/21,--,--,--,--,--,--,--,--
ICICI Prudential Regular Savings Fund - Direct Plan,11.56,7/28,11.08,8/25,10.31,3/21,--,--,--,--
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan - Direct Plan,23.64,3/42,22.46,6/39,--,--,--,--,--,--
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,12.69,2/28,10.45,10/25,--,--,--,--,--,--
Invesco India Aggressive Hybrid Fund - Direct Plan,19.84,9/42,18.61,19/39,--,--,--,--,--,--
Invesco India Arbitrage Fund - Direct Plan,7.88,1/24,6.46,1/23,6.50,5/14,--,--,--,--
Invesco India Balanced Advantage Fund - Direct Plan,16.33,4/27,14.24,11/22,10.63,6/10,--,--,--,--
Invesco India Equity Savings Fund - Direct Plan,13.54,3/22,11.35,14/22,--,--,--,--,--,--
Invesco India Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
ITI Arbitrage Fund - Direct Plan,7.08,22/24,5.44,22/23,--,--,--,--,--,--
ITI Balanced Advantage Fund - Direct Plan,14.25,13/27,13.04,14/22,--,--,--,--,--,--
JM Aggressive Hybrid Fund - Direct Plan,24.00,2/42,23.25,4/39,13.18,9/23,--,--,--,--
JM Arbitrage Fund - Direct Plan,7.23,21/24,5.61,21/23,5.73,14/14,--,--,--,--
Kotak Aggressive Hybrid Fund - Direct Plan,18.24,12/42,21.75,8/39,14.26,3/23,--,--,--,--
Kotak Arbitrage Fund - Direct Plan,7.82,2/24,6.44,2/23,6.52,3/14,--,--,--,--
Kotak Balanced Advantage Fund - Direct Plan,14.14,15/27,13.78,13/22,--,--,--,--,--,--
Kotak Debt Hybrid Fund - Direct Plan,12.52,3/28,12.70,2/25,10.94,2/21,--,--,--,--
Kotak Equity Savings Fund - Direct Plan,13.06,4/22,12.64,9/22,10.12,1/9,--,--,--,--
Kotak Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Kotak Multi Asset Allocator FoF - Dynamic - Direct Plan,20.97,5/21,21.19,--,15.39,--,--,--,--,--
LIC MF Aggressive Hybrid Fund - Direct Plan,15.47,34/42,15.17,36/39,10.31,22/23,--,--,--,--
LIC MF Arbitrage Fund - Direct Plan,7.29,19/24,5.90,20/23,--,--,--,--,--,--
LIC MF Balanced Advantage Fund - Direct Plan,13.27,20/27,--,--,--,--,--,--,--,--
LIC MF Conservative Hybrid Fund - Direct Plan,7.94,28/28,7.20,24/25,7.33,20/21,--,--,--,--
LIC MF Equity Savings Fund - Direct Plan,11.15,14/22,11.46,12/22,8.12,--,--,--,--,--
LIC MF Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
LIC MF Unit Linked Insurance - Direct Plan,13.27,41/42,17.15,29/39,10.58,20/23,--,--,--,--
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan,19.96,8/42,22.49,5/39,--,--,--,--,--,--
Mahindra Manulife Arbitrage Fund - Direct Plan,6.41,24/24,--,--,--,--,--,--,--,--
Mahindra Manulife Balanced Advantage Fund - Direct Plan,16.04,6/27,--,--,--,--,--,--,--,--
Mahindra Manulife Equity Savings Fund - Direct Plan,12.17,9/22,13.50,3/22,--,--,--,--,--,--
Mahindra Manulife Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Mirae Asset Aggressive Hybrid Fund - Direct Plan,16.35,24/42,17.89,21/39,--,--,--,--,--,--
Mirae Asset Arbitrage Fund - Direct Plan,7.63,8/24,6.22,10/23,--,--,--,--,--,--
Mirae Asset Balanced Advantage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Mirae Asset Equity Savings Fund - Direct Plan,12.93,5/22,13.67,2/22,--,--,--,--,--,--
Mirae Asset Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Motilal Oswal Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Direct Plan,17.52,11/21,--,--,--,--,--,--,--,--
Motilal Oswal Asset Allocation Passive FoF - Conservative - Direct Plan,14.28,18/21,--,--,--,--,--,--,--,--
Motilal Oswal Balanced Advantage Fund - Direct Plan,11.23,25/27,9.05,22/22,--,--,--,--,--,--
Navi Aggressive Hybrid Fund - Direct Plan,16.78,22/42,17.33,28/39,--,--,--,--,--,--
Nippon India Aggressive Hybrid Fund - Direct Plan,18.17,13/42,20.24,13/39,10.96,18/23,--,--,--,--
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Arbitrage Fund - Direct Plan,7.61,10/24,6.28,6/23,6.53,2/14,--,--,--,--
Nippon India Balanced Advantage Fund - Direct Plan,14.58,10/27,15.38,7/22,10.85,--,--,--,--,--
Nippon India Conservative Hybrid Fund - Direct Plan,9.91,22/28,9.70,16/25,6.40,21/21,--,--,--,--
Nippon India Conservative Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Conservative Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Equity Savings Fund - Direct Plan,10.16,17/22,10.53,17/22,5.48,9/9,--,--,--,--
Nippon India Equity Savings Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Equity Savings Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--,--,--,--,--,--
Nippon India Multi Asset Active FoF - Direct Plan,21.93,2/21,--,--,--,--,--,--,--,--
Nippon India Multi Asset Allocation Fund - Direct Plan,20.43,6/21,--,--,--,--,--,--,--,--
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,11.41,8/28,8.43,22/25,8.61,11/21,--,--,--,--
NJ Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
NJ Balanced Advantage Fund - Direct Plan,14.10,16/27,--,--,--,--,--,--,--,--
Parag Parikh Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Parag Parikh Conservative Hybrid Fund - Direct Plan,12.30,4/28,--,--,--,--,--,--,--,--
Parag Parikh Dynamic Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
PGIM India Aggressive Hybrid Equity Fund - Direct Plan,16.15,26/42,16.45,32/39,9.92,--,--,--,--,--
PGIM India Arbitrage Fund - Direct Plan,7.28,20/24,6.00,17/23,6.17,13/14,--,--,--,--
PGIM India Balanced Advantage Fund - Direct Plan,13.13,22/27,--,--,--,--,--,--,--,--
PGIM India Equity Savings Fund - Direct Plan,8.26,22/22,9.93,19/22,8.11,8/9,--,--,--,--
Quant Aggressive Hybrid Fund - Direct Plan,15.63,32/42,25.02,3/39,16.22,2/23,--,--,--,--
Quant Arbitrage Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Quant Dynamic Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Quant Equity Savings Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Quant Multi Asset Allocation Fund - Direct Plan,24.14,1/21,30.32,1/13,18.04,--,--,--,--,--
