Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Baroda BNP Paribas Arbitrage Fund - Direct Plan,0.18,10/32,0.70,1/32,1.59,6/32,3.64,16/31,7.47,14/27
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,-0.47,23/38,-0.13,19/38,6.64,2/38,9.04,1/37,7.93,5/36
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,-0.29,20/28,0.25,18/28,2.37,14/28,5.59,13/28,7.67,13/28
Baroda BNP Paribas Equity Savings Fund - Direct Plan,-0.15,14/23,-0.01,18/23,3.43,7/23,6.07,4/22,7.71,8/22
Baroda BNP Paribas Multi Asset Active FoF - Direct Plan,-0.12,11/43,0.34,23/43,--,--,--,--,--,--
Baroda BNP Paribas Multi Asset Fund - Direct Plan,-0.63,32/43,-0.52,42/43,4.01,28/41,9.17,19/40,6.28,29/37
Baroda BNP Paribas Retirement Fund - Direct Plan,-0.29,11/44,-0.21,23/44,5.01,20/44,7.24,30/44,7.23,9/44
Canara Robeco Balanced Advantage Fund - Direct Plan,-0.57,28/38,-0.19,24/38,3.90,16/38,6.89,10/37,--,--
Canara Robeco Conservative Hybrid Fund - Direct Plan,0.12,3/28,0.63,5/28,2.80,6/28,5.96,7/28,8.28,8/28
Canara Robeco Equity Hybrid Fund - Direct Plan,-0.45,22/44,-0.64,37/44,4.96,22/44,8.44,10/44,5.30,20/44
Canara Robeco Multi Asset Allocation Fund - Direct Plan,0.40,4/43,0.49,20/43,--,--,--,--,--,--
DSP Aggressive Hybrid Fund - Direct Plan,-0.30,12/44,-0.14,20/44,2.74,44/44,8.79,9/44,8.91,3/44
DSP Arbitrage Fund - Direct Plan,0.18,6/32,0.62,20/32,1.50,21/32,3.56,18/31,7.44,15/27
DSP Dynamic Asset Allocation Fund - Direct Plan,-0.18,14/38,0.57,6/38,2.88,33/38,6.67,19/37,8.04,3/36
DSP Equity Savings Fund - Direct Plan,0.14,5/23,0.59,4/23,1.65,22/23,5.48,8/22,8.12,4/22
DSP Multi Asset Allocation Fund - Direct Plan,0.57,2/43,1.93,1/43,6.52,7/41,11.05,4/40,15.50,2/37
DSP Regular Savings Fund - Direct Plan,-0.03,9/28,0.43,11/28,1.94,21/28,6.34,3/28,8.61,5/28
Edelweiss Aggressive Hybrid Fund - Direct Plan,-0.37,19/44,-0.44,31/44,5.07,19/44,8.19,16/44,6.76,10/44
Edelweiss Arbitrage Fund - Direct Plan,0.18,11/32,0.64,8/32,1.55,12/32,3.67,13/31,7.63,3/27
Edelweiss Balanced Advantage Fund - Direct Plan,-0.69,32/38,-0.73,35/38,3.56,26/38,5.88,28/37,3.21,29/36
Edelweiss Equity Savings Fund - Direct Plan,-0.07,11/23,1.04,1/23,3.34,10/23,6.02,5/22,9.28,1/22
Edelweiss Multi Asset Allocation Fund - Direct Plan,0.13,7/43,0.64,16/43,1.64,41/41,4.54,40/40,8.49,21/37
Edelweiss Multi Asset Omni FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Aggressive Hybrid Fund - Direct Plan,-0.03,5/44,-0.12,19/44,4.31,34/44,7.19,31/44,5.25,22/44
Franklin India Arbitrage Fund - Direct Plan,0.16,28/32,0.70,2/32,1.59,8/32,3.69,8/31,--,--
Franklin India Balanced Advantage Fund - Direct Plan,-0.01,7/38,0.21,11/38,3.73,21/38,6.57,21/37,6.75,11/36
Franklin India Conservative Hybrid Fund - Direct Plan,0.10,5/28,0.32,16/28,2.65,12/28,6.19,4/28,8.13,9/28
Franklin India Dynamic Asset Allocation Active FoF - Direct Plan,0.01,5/38,-0.06,18/38,3.49,28/38,6.87,11/37,6.38,14/36
Franklin India Equity Savings Fund - Direct Plan,0.20,3/23,0.39,10/23,2.11,18/23,4.28,20/22,6.55,14/22
Franklin India Multi Asset Allocation Fund - Direct Plan,--,--,--,--,--,--,--,--,--,--
Franklin India Retirement Fund - Direct Plan,0.03,1/6,0.13,3/6,3.23,4/6,6.02,4/6,6.35,4/6
Groww Aggressive Hybrid Fund - Direct Plan,0.07,3/44,-0.32,25/44,3.87,38/44,6.76,35/44,1.73,38/44
HDFC Arbitrage Fund - Direct Plan,0.21,--,0.63,--,1.52,--,3.56,--,7.47,--
HDFC Arbitrage Fund - Wholesale - Direct Plan,0.21,1/32,0.63,15/32,1.52,17/32,3.56,19/31,7.47,13/27
HDFC Balanced Advantage Fund - Direct Plan,-0.64,31/38,-0.61,32/38,3.71,22/38,6.81,12/37,3.32,28/36
HDFC Children's Fund - Direct Plan,-0.84,34/44,0.08,11/44,4.88,24/44,5.84,42/44,3.72,35/44
HDFC Equity Savings Fund - Direct Plan,-0.09,12/23,-0.02,20/23,2.74,13/23,5.19,11/22,5.51,18/22
HDFC Hybrid Debt Fund - Direct Plan,-0.18,14/28,0.22,20/28,1.15,25/28,4.86,22/28,6.15,22/28
HDFC Hybrid Equity Fund - Direct Plan,-0.34,16/44,0.13,9/44,4.68,27/44,8.24,14/44,5.02,24/44
HDFC Multi-Asset Active FoF - Direct Plan,-0.04,8/43,0.38,21/43,3.41,33/41,9.33,18/40,10.66,12/37
HDFC Multi Asset Fund - Direct Plan,-0.07,10/43,0.18,26/43,3.57,31/41,8.40,27/40,8.70,20/37
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,-0.12,12/28,0.34,15/28,2.09,18/28,5.23,16/28,6.59,19/28
HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan,-0.48,23/44,-0.52,35/44,4.56,29/44,7.56,24/44,3.96,33/44
Helios Balanced Advantage Fund - Direct Plan,--,6/38,0.88,3/38,4.83,6/38,6.68,18/37,4.93,24/36
HSBC Aggressive Hybrid Active FoF - Direct Plan,-0.71,29/44,-0.49,34/44,6.18,10/44,6.83,34/44,3.84,34/44
HSBC Aggressive Hybrid Fund - Direct Plan,0.17,2/44,0.06,12/44,9.95,2/44,7.92,19/44,2.90,37/44
HSBC Arbitrage Fund - Direct Plan,0.16,24/32,0.64,9/32,1.51,20/32,3.54,21/31,7.34,19/27
HSBC Balanced Advantage Fund - Direct Plan,-0.06,9/38,0.46,7/38,3.92,15/38,5.82,30/37,5.35,21/36
HSBC Conservative Hybrid Fund - Direct Plan,0.25,1/28,0.37,13/28,3.13,2/28,5.52,14/28,7.41,14/28
HSBC Equity Savings Fund - Direct Plan,0.39,2/23,0.72,3/23,4.82,1/23,3.10,22/22,4.31,22/22
HSBC Multi Asset Active FoF - Direct Plan,-0.51,28/43,0.16,27/43,6.86,4/41,9.04,21/40,7.47,24/37
HSBC Multi Asset Allocation Fund - Direct Plan,1.21,1/43,1.40,3/43,9.08,1/41,8.48,25/40,5.55,33/37
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,-0.41,24/43,0.08,29/43,4.31,25/41,8.34,28/40,10.23,15/37
ICICI Prudential Balanced Advantage Fund - Direct Plan,-0.22,15/38,-0.45,29/38,3.61,25/38,7.95,5/37,7.70,7/36
ICICI Prudential Child Care Fund - Gift Plan - Direct Plan,-0.54,24/44,-0.11,17/44,9.01,3/44,11.59,2/44,7.85,8/44
ICICI Prudential Equity Arbitrage Fund - Direct Plan,0.18,12/32,0.63,13/32,1.56,11/32,3.65,15/31,7.58,7/27
ICICI Prudential Equity & Debt Fund - Direct Plan,-0.41,20/44,-0.44,32/44,3.32,43/44,9.61,5/44,6.45,11/44
ICICI Prudential Equity Savings Fund - Direct Plan,-0.21,16/23,0.41,8/23,2.49,14/23,4.71,13/22,7.83,6/22
ICICI Prudential Multi Asset Fund - Direct Plan,-0.64,33/43,-0.24,35/43,3.46,32/41,8.63,22/40,10.26,14/37
ICICI Prudential Passive Multi-Asset FoF - Direct Plan,0.53,3/43,1.11,4/43,4.55,23/41,9.65,15/40,12.97,3/37
ICICI Prudential Regular Savings Fund - Direct Plan,-0.05,10/28,0.70,3/28,3.06,3/28,6.12,5/28,8.88,3/28
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan - Direct Plan,-0.80,32/44,0.31,6/44,10.48,1/44,11.69,1/44,8.23,5/44
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,-0.27,18/28,0.45,10/28,4.05,1/28,6.72,2/28,8.57,6/28
Invesco India Aggressive Hybrid Fund - Direct Plan,-0.43,21/44,-0.54,36/44,5.25,18/44,6.34,38/44,8.11,7/44
Invesco India Arbitrage Fund - Direct Plan,0.18,13/32,0.67,4/32,1.59,9/32,3.68,11/31,7.63,4/27
Invesco India Balanced Advantage Fund - Direct Plan,0.09,3/38,-0.16,21/38,4.48,9/38,5.50,32/37,5.72,19/36
Invesco India Equity Savings Fund - Direct Plan,-0.36,20/23,-0.02,19/23,3.81,3/23,5.26,10/22,7.12,9/22
Invesco India Multi Asset Allocation Fund - Direct Plan,0.18,5/43,1.02,7/43,5.50,12/41,10.06,12/40,--,--
ITI Arbitrage Fund - Direct Plan,0.13,31/32,0.60,24/32,1.53,16/32,3.83,2/31,7.53,10/27
ITI Balanced Advantage Fund - Direct Plan,0.05,4/38,-0.35,25/38,4.21,13/38,6.74,16/37,5.82,18/36
