Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
Tata Multi Asset Allocation Fund - Direct Plan,-0.49,26/43,0.67,15/43,5.33,15/41,9.54,16/40,7.89,23/37
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,-0.40,23/28,-0.20,27/28,3.00,4/28,5.20,18/28,5.78,25/28
Tata Retirement Savings Fund - Moderate Plan - Direct Plan,-1.18,40/44,-1.85,44/44,6.16,11/44,6.64,37/44,4.16,31/44
Unifi Dynamic Asset Allocation Fund - Direct Plan,0.14,2/38,0.71,4/38,1.78,37/38,--,--,--,--
Union Aggressive Hybrid Fund - Direct Plan,-0.73,30/44,-0.11,16/44,5.51,14/44,8.97,8/44,5.39,19/44
Union Arbitrage Fund - Direct Plan,0.16,25/32,0.64,7/32,1.44,26/32,3.44,24/31,7.27,21/27
Union Balanced Advantage Fund - Direct Plan,-0.32,18/38,0.37,9/38,3.87,17/38,7.09,9/37,4.57,26/36
Union Equity Savings Fund - Direct Plan,-0.17,15/23,0.40,9/23,2.34,15/23,4.67,15/22,4.67,21/22
Union Multi Asset Allocation Fund - Direct Plan,-0.28,19/43,0.28,24/43,4.36,24/41,10.24,11/40,--,--
UTI Aggressive Hybrid Fund - Direct Plan,-0.89,37/44,-0.38,27/44,4.07,36/44,6.19,39/44,4.29,29/44
UTI Arbitrage Fund - Direct Plan,0.18,14/32,0.63,12/32,1.55,13/32,3.68,9/31,7.55,8/27
UTI Balanced Advantage Fund - Direct Plan,-0.17,13/38,-0.50,31/38,3.02,32/38,6.75,15/37,7.80,6/36
UTI Children's Hybrid Fund - Direct Plan,-0.35,5/6,-0.42,6/6,2.41,6/6,5.74,5/6,5.30,6/6
UTI Conservative Hybrid Fund - Direct Plan,-0.20,16/28,0.30,17/28,2.16,16/28,5.61,12/28,7.94,10/28
UTI Conservative Hybrid Fund Segregated Portfolio - Direct Plan,--,--,--,--,--,--,--,--,--,--
UTI Equity Savings Fund - Direct Plan,-0.27,18/23,-0.25,23/23,1.62,23/23,4.63,16/22,5.78,17/22
UTI Multi Asset Allocation Fund - Direct Plan,-0.71,37/43,-0.37,39/43,3.29,34/41,6.28,37/40,6.19,31/37
UTI Retirement Fund - Direct Plan,-0.53,6/6,0.01,5/6,2.61,5/6,5.64,6/6,6.51,3/6
UTI Unit Linked Insurance Plan - Direct Plan,-0.03,8/38,0.04,15/38,2.30,35/38,6.10,27/37,9.14,2/36
WhiteOak Capital Arbitrage Fund - Direct Plan,0.17,20/32,0.64,6/32,1.57,10/32,3.77,4/31,--,--
WhiteOak Capital Balanced Advantage Fund - Direct Plan,-0.06,10/38,0.18,12/38,4.41,10/38,8.52,4/37,10.07,1/36
WhiteOak Capital Balanced Hybrid Fund - Direct Plan,-0.18,3/6,0.08,4/6,4.04,1/6,7.40,1/6,8.03,1/6
WhiteOak Capital Equity Savings Fund - Direct Plan,0.48,1/23,0.98,2/23,3.76,4/23,--,--,--,--
WhiteOak Capital Multi Asset Allocation Fund - Direct Plan,0.14,6/43,0.73,14/43,4.25,26/41,9.90,13/40,17.36,1/37
Zerodha Multi Asset Passive FoF - Direct Plan,--,--,--,--,--,--,--,--,--,--
