Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
Baroda BNP Paribas Multi Asset Active FoF - Direct Plan,--,--,--,Moderately High,HY-MAA,Unlock,0.11,2025-05-30,126.00
Baroda BNP Paribas Multi Asset Fund - Direct Plan,--,6.28,29/37,Very High,HY-MAA,Unlock,0.91,2022-12-19,"1,200"
Baroda BNP Paribas Retirement Fund - Direct Plan,--,7.23,9/44,Very High,HY-AH,Unlock,1.16,2024-05-28,390.00
Canara Robeco Balanced Advantage Fund - Direct Plan,--,--,--,Very High,HY-DAA,Unlock,0.64,2024-08-02,"1,507"
Canara Robeco Conservative Hybrid Fund - Direct Plan,3,8.28,8/28,Moderately High,HY-CH,Unlock,0.67,2013-01-02,955.00
Canara Robeco Equity Hybrid Fund - Direct Plan,3,5.30,20/44,Very High,HY-AH,Unlock,0.57,2013-01-01,"11,243"
Canara Robeco Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.57,2025-05-30,918.00
DSP Aggressive Hybrid Fund - Direct Plan,4,8.91,3/44,Very High,HY-AH,Unlock,0.65,2013-01-01,"11,418"
DSP Arbitrage Fund - Direct Plan,3,7.44,15/27,Low,HY-AR,Unlock,0.35,2018-01-25,"6,434"
DSP Dynamic Asset Allocation Fund - Direct Plan,3,8.04,3/36,Moderately High,HY-DAA,Unlock,0.68,2014-02-06,"3,454"
DSP Equity Savings Fund - Direct Plan,4,8.12,4/22,Moderate,HY-EQ S,Unlock,0.37,2016-03-28,"3,192"
DSP Multi Asset Allocation Fund - Direct Plan,--,15.50,2/37,Very High,HY-MAA,Unlock,0.28,2023-09-27,"3,377"
DSP Regular Savings Fund - Direct Plan,3,8.61,5/28,Moderate,HY-CH,Unlock,0.50,2013-01-02,174.00
Edelweiss Aggressive Hybrid Fund - Direct Plan,5,6.76,10/44,Very High,HY-AH,Unlock,0.39,2013-01-07,"2,926"
Edelweiss Arbitrage Fund - Direct Plan,4,7.63,3/27,Low,HY-AR,Unlock,0.38,2014-06-27,"15,045"
Edelweiss Balanced Advantage Fund - Direct Plan,3,3.21,29/36,Very High,HY-DAA,Unlock,0.51,2013-01-01,"13,047"
Edelweiss Equity Savings Fund - Direct Plan,5,9.28,1/22,Moderate,HY-EQ S,Unlock,0.60,2014-10-13,670.00
Edelweiss Multi Asset Allocation Fund - Direct Plan,--,8.49,21/37,Low to Moderate,HY-MAA,Unlock,0.40,2023-06-23,"1,879"
Edelweiss Multi Asset Omni FoF - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
Franklin India Aggressive Hybrid Fund - Direct Plan,4,5.25,22/44,Very High,HY-AH,Unlock,0.97,2013-01-01,"2,248"
Franklin India Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.29,2024-11-19,350.00
Franklin India Balanced Advantage Fund - Direct Plan,--,6.75,11/36,High,HY-DAA,Unlock,0.43,2022-09-06,"2,738"
Franklin India Conservative Hybrid Fund - Direct Plan,3,8.13,9/28,Moderately High,HY-CH,Unlock,0.79,2013-01-01,206.00
Franklin India Dynamic Asset Allocation Active FoF - Direct Plan,5,6.38,14/36,High,HY-DAA,Unlock,1.09,2013-01-01,"1,325"
Franklin India Equity Savings Fund - Direct Plan,3,6.55,14/22,Low to Moderate,HY-EQ S,Unlock,0.30,2018-08-27,667.00
Franklin India Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
Franklin India Retirement Fund - Direct Plan,--,6.35,4/6,High,HY-BH,Unlock,1.46,2013-01-01,526.00
Groww Aggressive Hybrid Fund - Direct Plan,2,1.73,38/44,Very High,HY-AH,Unlock,1.38,2018-12-13,48.00
HDFC Arbitrage Fund - Direct Plan,--,7.47,--,Low,HY-AR,Unlock,0.42,2013-01-01,"21,068"
HDFC Arbitrage Fund - Wholesale - Direct Plan,3,7.47,13/27,Low,HY-AR,Unlock,0.41,2014-04-07,"21,068"
HDFC Balanced Advantage Fund - Direct Plan,5,3.32,28/36,Very High,HY-DAA,Unlock,0.75,2013-01-01,"1,02,790"
HDFC Children's Fund - Direct Plan,5,3.72,35/44,Very High,HY-AH,Unlock,0.90,2013-01-01,"10,369"
HDFC Equity Savings Fund - Direct Plan,3,5.51,18/22,Moderately High,HY-EQ S,Unlock,0.92,2013-01-01,"5,663"
HDFC Hybrid Debt Fund - Direct Plan,4,6.15,22/28,Moderately High,HY-CH,Unlock,1.16,2013-01-01,"3,401"
HDFC Hybrid Equity Fund - Direct Plan,3,5.02,24/44,Very High,HY-AH,Unlock,1.04,2013-01-01,"24,854"
HDFC Multi-Asset Active FoF - Direct Plan,4,10.66,12/37,High,HY-MAA,Unlock,0.10,2021-05-05,"4,211"
HDFC Multi Asset Fund - Direct Plan,4,8.70,20/37,High,HY-MAA,Unlock,0.77,2013-01-01,"4,545"
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,3,6.59,19/28,Moderately High,HY-CH,Unlock,1.02,2016-02-26,163.00
HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan,4,3.96,33/44,Very High,HY-AH,Unlock,0.92,2016-02-25,"1,698"
Helios Balanced Advantage Fund - Direct Plan,--,4.93,24/36,High,HY-DAA,Unlock,0.91,2024-03-27,313.00
HSBC Aggressive Hybrid Active FoF - Direct Plan,2,3.84,34/44,Very High,HY-AH,Unlock,0.10,2014-04-30,42.00
HSBC Aggressive Hybrid Fund - Direct Plan,2,2.90,37/44,Very High,HY-AH,Unlock,0.82,2013-01-01,"5,566"
HSBC Arbitrage Fund - Direct Plan,3,7.34,19/27,Low,HY-AR,Unlock,0.23,2014-06-30,"2,444"
HSBC Balanced Advantage Fund - Direct Plan,3,5.35,21/36,Moderately High,HY-DAA,Unlock,0.82,2013-01-01,"1,555"
HSBC Conservative Hybrid Fund - Direct Plan,2,7.41,14/28,Moderately High,HY-CH,Unlock,1.29,2013-01-11,163.00
HSBC Equity Savings Fund - Direct Plan,3,4.31,22/22,Moderately High,HY-EQ S,Unlock,0.65,2013-01-01,649.00
HSBC Multi Asset Active FoF - Direct Plan,2,7.47,24/37,Very High,HY-MAA,Unlock,0.10,2014-04-30,61.00
HSBC Multi Asset Allocation Fund - Direct Plan,--,5.55,33/37,Very High,HY-MAA,Unlock,0.50,2024-02-28,"2,154"
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,4,10.23,15/37,High,HY-MAA,Unlock,0.21,2013-01-01,"26,858"
ICICI Prudential Balanced Advantage Fund - Direct Plan,4,7.70,7/36,Very High,HY-DAA,Unlock,0.85,2013-01-01,"65,298"
ICICI Prudential Child Care Fund - Gift Plan - Direct Plan,3,7.85,8/44,Very High,HY-AH,Unlock,1.46,2013-01-01,"1,424"
ICICI Prudential Equity Arbitrage Fund - Direct Plan,3,7.58,7/27,Low,HY-AR,Unlock,0.40,2013-01-01,"30,811"
ICICI Prudential Equity & Debt Fund - Direct Plan,5,6.45,11/44,Very High,HY-AH,Unlock,0.96,2013-01-01,"44,552"
ICICI Prudential Equity Savings Fund - Direct Plan,5,7.83,6/22,Low to Moderate,HY-EQ S,Unlock,0.50,2014-12-05,"14,168"
ICICI Prudential Multi Asset Fund - Direct Plan,5,10.26,14/37,Very High,HY-MAA,Unlock,0.67,2013-01-01,"62,014"
ICICI Prudential Passive Multi-Asset FoF - Direct Plan,3,12.97,3/37,High,HY-MAA,Unlock,0.22,2022-01-14,"1,166"
ICICI Prudential Regular Savings Fund - Direct Plan,4,8.88,3/28,High,HY-CH,Unlock,0.97,2013-01-01,"3,220"
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan - Direct Plan,4,8.23,5/44,Very High,HY-AH,Unlock,0.78,2019-02-27,903.00
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,3,8.57,6/28,High,HY-CH,Unlock,0.87,2019-02-27,83.00
Invesco India Aggressive Hybrid Fund - Direct Plan,3,8.11,7/44,Very High,HY-AH,Unlock,0.79,2018-06-30,742.00
Invesco India Arbitrage Fund - Direct Plan,5,7.63,4/27,Low,HY-AR,Unlock,0.39,2013-01-01,"23,900"
Invesco India Balanced Advantage Fund - Direct Plan,3,5.72,19/36,Very High,HY-DAA,Unlock,0.79,2013-01-01,"1,024"
Invesco India Equity Savings Fund - Direct Plan,2,7.12,9/22,Moderately High,HY-EQ S,Unlock,0.71,2019-03-07,426.00
Invesco India Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.51,2024-12-17,406.00
ITI Arbitrage Fund - Direct Plan,1,7.53,10/27,Low,HY-AR,Unlock,0.21,2019-09-09,46.00
ITI Balanced Advantage Fund - Direct Plan,2,5.82,18/36,Very High,HY-DAA,Unlock,0.63,2019-12-31,408.00
JM Aggressive Hybrid Fund - Direct Plan,5,-2.38,43/44,Very High,HY-AH,Unlock,0.54,2013-01-01,862.00
JM Arbitrage Fund - Direct Plan,2,7.01,25/27,Low,HY-AR,Unlock,0.39,2013-01-01,196.00
Kotak Aggressive Hybrid Fund - Direct Plan,4,5.28,21/44,Very High,HY-AH,Unlock,0.47,2013-01-01,"7,808"
Kotak Arbitrage Fund - Direct Plan,4,7.60,6/27,Low,HY-AR,Unlock,0.44,2013-01-01,"69,924"
Kotak Balanced Advantage Fund - Direct Plan,4,6.27,15/36,Very High,HY-DAA,Unlock,0.56,2018-08-03,"17,677"
Kotak Debt Hybrid Fund - Direct Plan,4,7.23,15/28,Moderately High,HY-CH,Unlock,0.48,2013-01-01,"3,134"
Kotak Equity Savings Fund - Direct Plan,4,5.78,16/22,Moderately High,HY-EQ S,Unlock,0.67,2014-10-13,"8,444"
Kotak Multi Asset Allocation Fund - Direct Plan,--,5.75,32/37,Very High,HY-MAA,Unlock,0.44,2023-09-22,"8,220"
Kotak Multi Asset Allocator FoF - Dynamic - Direct Plan,4,8.84,19/37,Very High,HY-MAA,Unlock,0.33,2013-01-01,"1,860"
LIC MF Aggressive Hybrid Fund - Direct Plan,2,4.77,27/44,Very High,HY-AH,Unlock,1.39,2013-01-03,545.00
LIC MF Arbitrage Fund - Direct Plan,2,7.28,20/27,Low,HY-AR,Unlock,0.34,2019-01-25,121.00
LIC MF Balanced Advantage Fund - Direct Plan,3,7.48,8/36,Very High,HY-DAA,Unlock,0.71,2021-11-12,845.00
LIC MF Conservative Hybrid Fund - Direct Plan,1,6.35,21/28,Moderately High,HY-CH,Unlock,1.21,2013-01-09,51.00
LIC MF Equity Savings Fund - Direct Plan,1,8.19,2/22,Moderate,HY-EQ S,Unlock,1.32,2013-01-04,21.00
LIC MF Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.46,2025-02-14,619.00
LIC MF Unit Linked Insurance - Direct Plan,2,4.06,32/44,Very High,HY-AH,Unlock,1.29,2013-03-01,498.00
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan,4,5.97,15/44,Very High,HY-AH,Unlock,0.46,2019-07-19,"1,798"
Mahindra Manulife Arbitrage Fund - Direct Plan,2,6.27,27/27,Low,HY-AR,Unlock,0.39,2020-08-24,90.00
Mahindra Manulife Balanced Advantage Fund - Direct Plan,3,5.45,20/36,Very High,HY-DAA,Unlock,0.53,2021-12-30,933.00
Mahindra Manulife Equity Savings Fund - Direct Plan,2,5.33,19/22,Moderately High,HY-EQ S,Unlock,0.72,2017-02-01,571.00
Mahindra Manulife Multi Asset Allocation Fund - Direct Plan,--,10.71,11/37,Very High,HY-MAA,Unlock,0.42,2024-03-13,624.00
Mirae Asset Aggressive Hybrid Fund - Direct Plan,3,5.86,16/44,Very High,HY-AH,Unlock,0.39,2015-07-29,"9,313"
Mirae Asset Arbitrage Fund - Direct Plan,4,7.39,17/27,Low,HY-AR,Unlock,0.15,2020-06-19,"3,233"
Mirae Asset Balanced Advantage Fund - Direct Plan,--,7.04,10/36,Very High,HY-DAA,Unlock,0.69,2022-08-11,"1,899"
Mirae Asset Equity Savings Fund - Direct Plan,3,8.19,3/22,Moderately High,HY-EQ S,Unlock,0.40,2018-12-17,"1,507"
Mirae Asset Multi Asset Allocation Fund - Direct Plan,--,12.19,5/37,Very High,HY-MAA,Unlock,0.42,2024-01-31,"2,092"
Motilal Oswal Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.11,2024-12-23,765.00
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Direct Plan,2,11.09,9/37,Very High,HY-MAA,Unlock,0.07,2021-03-12,86.00
Motilal Oswal Asset Allocation Passive FoF - Conservative - Direct Plan,3,11.97,7/37,High,HY-MAA,Unlock,0.06,2021-03-12,48.00
Motilal Oswal Balanced Advantage Fund - Direct Plan,1,-7.91,36/36,Very High,HY-DAA,Unlock,0.94,2016-09-27,913.00
Navi Aggressive Hybrid Fund - Direct Plan,3,6.30,12/44,Very High,HY-AH,Unlock,0.42,2018-04-30,125.00
