Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
Union Aggressive Hybrid Fund - Direct Plan,2,5.39,19/44,High,HY-AH,Unlock,1.00,2020-12-18,670.00
Union Arbitrage Fund - Direct Plan,2,7.27,21/27,Low,HY-AR,Unlock,0.46,2019-02-20,335.00
Union Balanced Advantage Fund - Direct Plan,3,4.57,26/36,Very High,HY-DAA,Unlock,0.99,2017-12-29,"1,395"
Union Equity Savings Fund - Direct Plan,1,4.67,21/22,Moderate,HY-EQ S,Unlock,1.46,2018-08-09,139.00
Union Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,1.01,2024-09-10,798.00
UTI Aggressive Hybrid Fund - Direct Plan,4,4.29,29/44,Very High,HY-AH,Unlock,1.23,2013-01-01,"6,468"
UTI Arbitrage Fund - Direct Plan,3,7.55,8/27,Low,HY-AR,Unlock,0.28,2013-01-01,"7,863"
UTI Balanced Advantage Fund - Direct Plan,--,7.80,6/36,Very High,HY-DAA,Unlock,0.52,2023-08-10,"3,036"
UTI Children's Hybrid Fund - Direct Plan,--,5.30,6/6,High,HY-BH,Unlock,1.52,2013-01-01,"4,627"
UTI Conservative Hybrid Fund - Direct Plan,4,7.94,10/28,Moderately High,HY-CH,Unlock,1.19,2013-01-01,"1,706"
UTI Conservative Hybrid Fund Segregated Portfolio - Direct Plan,--,--,--,Moderately High,HY-CH,Unlock,1.21,--,46.00
UTI Equity Savings Fund - Direct Plan,4,5.78,17/22,Moderate,HY-EQ S,Unlock,0.69,2018-08-30,707.00
UTI Multi Asset Allocation Fund - Direct Plan,4,6.19,31/37,Very High,HY-MAA,Unlock,0.59,2013-01-01,"5,890"
UTI Retirement Fund - Direct Plan,--,6.51,3/6,High,HY-BH,Unlock,1.02,2013-01-01,"4,766"
UTI Unit Linked Insurance Plan - Direct Plan,2,9.14,2/36,High,HY-DAA,Unlock,0.96,2013-01-01,"5,489"
WhiteOak Capital Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.38,2024-09-09,553.00
WhiteOak Capital Balanced Advantage Fund - Direct Plan,--,10.07,1/36,Very High,HY-DAA,Unlock,0.50,2023-02-10,"1,654"
WhiteOak Capital Balanced Hybrid Fund - Direct Plan,--,8.03,1/6,Very High,HY-BH,Unlock,0.68,2023-10-27,195.00
WhiteOak Capital Equity Savings Fund - Direct Plan,--,--,--,Moderate,HY-EQ S,Unlock,0.63,2025-03-12,102.00
WhiteOak Capital Multi Asset Allocation Fund - Direct Plan,--,17.36,1/37,High,HY-MAA,Unlock,0.48,2023-05-19,"2,586"
Zerodha Multi Asset Passive FoF - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
